,item,pick,win,win_rate,score
0,Galeforce,15328,7874,51.37004175365344,51.37004175365344
1,Boots of Swiftness,12574,6456,51.34404326387785,50.785955837096566
2,The Collector,7604,4289,56.40452393477118,55.17833863184137
3,Rapid Firecannon,6887,3963,57.5431973282997,55.666788719768185
4,Lord Dominiks Regards,5241,2763,52.718946765884375,50.426818645628536
5,Infinity Edge,4333,2496,57.604431110085386,54.4737555062764
6,Cloak of Agility,3916,1724,44.024514811031665,41.153350801616554
7,Refillable Potion,3167,1556,49.13167035048942,45.39339108469132
8,Plated Steelcaps,2744,1377,50.18221574344023,45.81854480922804
9,Pickaxe,2524,1132,44.849445324881145,40.461999586577555
10,Control Ward,2415,1177,48.737060041407865,43.43955351516788
11,B. F. Sword,2305,1359,58.958785249457705,51.90936527397906
12,Dorans Blade,1852,897,48.4341252699784,42.11663066954643
13,Long Sword,1844,723,39.208242950108456,33.66794775063661
14,Zeal,1824,990,54.276315789473685,46.016876430205954
15,Serrated Dirk,1274,570,44.740973312401884,37.446249402771144
16,Last Whisper,1052,398,37.832699619771866,31.253099685898498
17,Dagger,957,507,52.97805642633229,43.18863295624915
18,Kircheis Shard,935,463,49.518716577540104,39.830272029760515
19,Guardian Angel,559,329,58.85509838998211,46.700241113790156
20,Executioners Calling,557,217,38.95870736086176,30.48942315197877
21,Broken Stopwatch,7,2,28.57142857142857,22.049689440993788
22,Boots,408,141,34.55882352941176,26.294757033248082
23,Stopwatch,408,246,60.29411764705882,45.220588235294116
24,Mortal Reminder,313,172,54.9520766773163,40.616752326712046
25,Noonquiver,311,53,17.041800643086816,12.410876555291486
26,Stormrazor,282,185,65.60283687943263,47.06290471785384
27,Mercurys Treads,277,149,53.79061371841155,38.00423795322555
28,Health Potion,275,147,53.45454545454545,37.18577075098814
29,Eclipse,247,133,53.84615384615385,36.87290969899666
30,Youmuus Ghostblade,243,142,58.43621399176955,39.380926820540346
31,Total Biscuit of Everlasting Will,204,78,38.23529411764706,25.35166240409207
32,Bloodthirster,174,88,50.57471264367817,32.98350824587707
33,Serpents Fang,149,69,46.308724832214764,29.697986577181204
34,Berserkers Greaves,131,72,54.961832061068705,34.64985064719549
35,Axiom Arc,127,81,63.77952755905512,39.51557685724067
36,Ornn upgraded item,1,1,100.0,60.8695652173913
37,Quicksilver Sash,103,63,61.165048543689316,36.56606162937948
38,Muramana,98,54,55.10204081632652,32.34250221827861
39,Vampiric Scepter,90,45,50.0,28.804347826086953
40,Cull,85,31,36.470588235294116,20.613810741687978
41,Maw of Malmortius,80,47,58.75,32.567934782608695
42,Hexdrinker,68,34,50.0,27.173913043478258
43,Mercurial Scimitar,67,43,64.17910447761194,34.18234912394549
44,Null-Magic Mantle,65,21,32.30769230769231,16.8561872909699
45,Cloth Armor,63,33,52.38095238095239,26.759834368530022
46,Phantom Dancer,63,36,57.14285714285714,28.57142857142857
47,Chain Vest,54,23,42.592592592592595,20.833333333333332
48,Caulfields Warhammer,50,21,42.0,20.08695652173913
49,Immortal Shieldbow,45,20,44.44444444444444,20.77294685990338
50,Seryldas Grudge,45,28,62.22222222222222,28.405797101449277
51,Tear of the Goddess,40,16,40.0,17.82608695652174
52,Duskblade of Draktharr,36,16,44.44444444444444,19.32367149758454
53,Ionian Boots of Lucidity,36,11,30.555555555555557,12.952898550724639
54,Edge of Night,30,19,63.33333333333333,26.15942028985507
55,Dorans Shield,19,11,57.89473684210527,23.2837528604119
56,Slightly Magical Footwear,19,6,31.57894736842105,12.356979405034325
57,Kraken Slayer,16,8,50.0,19.02173913043478
58,Negatron Cloak,15,12,80.0,29.565217391304348
59,Essence Reaver,14,9,64.28571428571429,23.059006211180126
60,Zhonyas Hourglass,14,5,35.714285714285715,12.422360248447205
61,Manamune,12,6,50.0,16.84782608695652
62,Ruby Crystal,10,3,30.0,9.782608695652174
63,Runaans Hurricane,9,4,44.44444444444444,14.009661835748792
64,Elixir of Wrath,8,6,75.0,22.82608695652174
65,Black Mist Scythe,7,3,42.857142857142854,12.577639751552795
66,Corrupting Potion,6,6,100.0,28.26086956521739
67,Sheen,5,3,60.0,16.304347826086957
68,Perfectly Timed Stopwatch,5,3,60.0,15.652173913043478
69,Anathemas Chains,4,3,75.0,18.75
70,Randuins Omen,4,3,75.0,17.934782608695652
71,Wardens Mail,4,3,75.0,17.119565217391305
72,Your Cut,4,2,50.0,10.869565217391305
73,Umbral Glaive,3,1,33.33333333333333,6.884057971014491
74,Ravenous Hydra,3,3,100.0,19.565217391304348
75,Prowlers Claw,3,3,100.0,18.478260869565215
76,Force of Nature,2,2,100.0,17.391304347826086
77,Amplifying Tome,2,1,50.0,8.152173913043478
78,Sorcerers Shoes,2,1,50.0,7.608695652173912
79,Giants Belt,2,1,50.0,7.065217391304348
80,Rabadons Deathcap,2,2,100.0,13.043478260869565
81,Mejais Soulstealer,2,2,100.0,11.956521739130434
82,Night Harvester,1,1,100.0,10.869565217391305
83,Hearthbound Axe,1,1,100.0,9.782608695652174
84,Elixir of Sorcery,1,1,100.0,8.695652173913043
85,Recurve Bow,1,1,100.0,7.608695652173912
86,Spirit Visage,1,1,100.0,6.521739130434782
87,Kindlegem,1,1,100.0,5.434782608695652
88,Dead Mans Plate,1,1,100.0,4.3478260869565215
89,Tiamat,1,1,100.0,3.260869565217391
90,Spectres Cowl,1,1,100.0,2.1739130434782608
91,Blade of The Ruined King,1,1,100.0,1.0869565217391304
92,Fiendish Codex,1,1,100.0,0.0
