,Champion**Item,picks
0,Jhin**Galeforce,15328
1,Jhin**Boots of Swiftness,12574
2,Jinx**Berserker's Greaves,10946
3,Yone**Berserker's Greaves,9923
4,Yone**Immortal Shieldbow,9474
5,LeeSin**Goredrinker,9241
6,Graves**Immortal Shieldbow,8963
7,Caitlyn**Berserker's Greaves,8723
8,Lulu**Ionian Boots of Lucidity,8500
9,Ezreal**Muramana,8476
10,Ezreal**Ionian Boots of Lucidity,8334
11,Yasuo**Berserker's Greaves,8025
12,Yasuo**Immortal Shieldbow,7688
13,Camille**Divine Sunderer,7639
14,Jhin**The Collector,7604
15,Vayne**Berserker's Greaves,7568
16,Lucian**Essence Reaver,7567
17,Jayce**Eclipse,7355
18,Lulu**Shard of True Ice,7249
19,Lux**Sorcerer's Shoes,7236
20,Nami**Shard of True Ice,7167
21,Lulu**Shurelya's Battlesong,7158
22,Lucian**Galeforce,7110
23,Talon**Youmuu's Ghostblade,7095
24,Lux**Luden's Tempest,7047
25,Jhin**Rapid Firecannon,6887
26,Vayne**Immortal Shieldbow,6840
27,Ekko**Hextech Rocketbelt,6820
28,Nami**Imperial Mandate,6735
29,Nami**Ionian Boots of Lucidity,6732
30,Jinx**Kraken Slayer,6688
31,Irelia**Blade of The Ruined King,6675
32,Caitlyn**Galeforce,6443
33,Sylas**Everfrost,6101
34,Viego**Plated Steelcaps,5945
35,Graves**Plated Steelcaps,5875
36,Yone**Infinity Edge,5858
37,Ekko**Sorcerer's Shoes,5833
38,Talon**Ionian Boots of Lucidity,5810
39,Jayce**Muramana,5704
40,Viktor**Sorcerer's Shoes,5685
41,Thresh**Pauldrons of Whiterock,5669
42,Aphelios**Berserker's Greaves,5602
43,LeeSin**Plated Steelcaps,5568
44,LeeSin**Sterak's Gage,5513
45,LeeSin**Control Ward,5511
46,Yuumi**Shard of True Ice,5504
47,Thresh**Locket of the Iron Solari,5450
48,Talon**Eclipse,5443
49,Sylas**Ionian Boots of Lucidity,5434
50,Karma**Ionian Boots of Lucidity,5433
51,Jhin**Lord Dominik's Regards,5241
52,Viktor**Crown of the Shattered Queen,5180
53,Zed**Ionian Boots of Lucidity,5111
54,Zed**Youmuu's Ghostblade,5058
55,Lux**Shard of True Ice,5058
56,Leblanc**Luden's Tempest,5007
57,Graves**Youmuu's Ghostblade,4995
58,Camille**Plated Steelcaps,4982
59,Karma**Shard of True Ice,4921
60,Vex**Sorcerer's Shoes,4890
61,Rakan**Shurelya's Battlesong,4875
62,Ezreal**Divine Sunderer,4866
63,Vayne**Guinsoo's Rageblade,4851
64,Yasuo**Infinity Edge,4806
65,Qiyana**Ionian Boots of Lucidity,4652
66,Irelia**Plated Steelcaps,4624
67,Thresh**Control Ward,4608
68,Thresh**Mobility Boots,4554
69,Rakan**Bulwark of the Mountain,4554
70,Jinx**Infinity Edge,4537
71,Lulu**Control Ward,4512
72,Viego**Immortal Shieldbow,4413
73,Sylas**Zhonya's Hourglass,4411
74,Qiyana**Youmuu's Ghostblade,4401
75,Aphelios**Immortal Shieldbow,4382
76,Leblanc**Sorcerer's Shoes,4349
77,Jhin**Infinity Edge,4333
78,Lucian**Berserker's Greaves,4329
79,Akali**Sorcerer's Shoes,4322
80,Jayce**Ionian Boots of Lucidity,4289
81,TwistedFate**Everfrost,4258
82,Rakan**Ionian Boots of Lucidity,4144
83,Kaisa**Berserker's Greaves,4089
84,Camille**Ravenous Hydra,4071
85,Viego**Divine Sunderer,4050
86,Ezreal**Trinity Force,3966
87,Rakan**Control Ward,3933
88,Jhin**Cloak of Agility,3916
89,Draven**Immortal Shieldbow,3841
90,Yuumi**Moonstone Renewer,3808
91,Xerath**Sorcerer's Shoes,3799
92,Nidalee**Sorcerer's Shoes,3778
93,Hecarim**Divine Sunderer,3775
94,Karma**Shurelya's Battlesong,3758
95,Vex**Luden's Tempest,3758
96,Jax**Divine Sunderer,3734
97,Nami**Chemtech Putrifier,3708
98,Karthus**Sorcerer's Shoes,3659
99,Blitzcrank**Mobility Boots,3640
100,Viktor**Cosmic Drive,3624
101,Graves**Lord Dominik's Regards,3574
102,Ezreal**Serylda's Grudge,3550
103,Leona**Locket of the Iron Solari,3545
104,Thresh**Kindlegem,3536
105,Jinx**Rapid Firecannon,3518
106,Nami**Control Ward,3486
107,Karthus**Liandry's Anguish,3475
108,Talon**Long Sword,3468
109,TwistedFate**Rapid Firecannon,3462
110,Graves**The Collector,3432
111,XinZhao**Goredrinker,3430
112,Leona**Control Ward,3419
113,Sona**Shard of True Ice,3417
114,Jinx**Galeforce,3409
115,Zed**Eclipse,3391
116,Yone**Mortal Reminder,3383
117,Leona**Bulwark of the Mountain,3375
118,Sett**Goredrinker,3355
119,Lulu**Chemtech Putrifier,3353
120,Xerath**Luden's Tempest,3347
121,Caitlyn**Infinity Edge,3330
122,Ekko**Dark Seal,3298
123,Yasuo**Mortal Reminder,3275
124,Tryndamere**Berserker's Greaves,3270
125,Soraka**Moonstone Renewer,3249
126,Syndra**Sorcerer's Shoes,3247
127,Lucian**Plated Steelcaps,3241
128,Zed**Long Sword,3225
129,Ezreal**Long Sword,3224
130,Vladimir**Hextech Rocketbelt,3199
131,Viego**Blade of The Ruined King,3186
132,Yone**Doran's Blade,3178
133,Katarina**Sorcerer's Shoes,3176
134,Draven**Berserker's Greaves,3170
135,Ekko**Lich Bane,3170
136,Jhin**Refillable Potion,3167
137,Janna**Shard of True Ice,3155
138,Yasuo**Doran's Blade,3152
139,Jinx**Runaan's Hurricane,3147
140,Graves**Mercury's Treads,3139
141,Blitzcrank**Bulwark of the Mountain,3133
142,Sett**Plated Steelcaps,3132
143,Gwen**Riftmaker,3129
144,Aatrox**Goredrinker,3125
145,Soraka**Shard of True Ice,3112
146,Sylas**Cosmic Drive,3111
147,Caitlyn**Doran's Blade,3088
148,Nautilus**Bulwark of the Mountain,3087
149,Twitch**Berserker's Greaves,3084
150,Bard**Shard of True Ice,3076
151,Sylas**Dark Seal,3045
152,Kennen**Hextech Rocketbelt,3034
153,Sona**Moonstone Renewer,3030
154,Lucian**Infinity Edge,3018
155,Soraka**Ionian Boots of Lucidity,3010
156,Leblanc**Corrupting Potion,3008
157,Pyke**Duskblade of Draktharr,2999
158,Caitlyn**Rapid Firecannon,2999
159,Fiora**Plated Steelcaps,2997
160,Kennen**Sorcerer's Shoes,2995
161,Aphelios**The Collector,2987
162,Zilean**Ionian Boots of Lucidity,2980
163,Camille**Doran's Blade,2978
164,Riven**Goredrinker,2974
165,JarvanIV**Goredrinker,2964
166,Hecarim**Sterak's Gage,2961
167,Pyke**Pauldrons of Whiterock,2961
168,Jinx**Doran's Blade,2916
169,Irelia**Doran's Blade,2909
170,Xayah**Eclipse,2887
171,Camille**Sterak's Gage,2876
172,MissFortune**Eclipse,2873
173,TwistedFate**Ionian Boots of Lucidity,2871
174,Syndra**Luden's Tempest,2869
175,Samira**Immortal Shieldbow,2862
176,Qiyana**Long Sword,2852
177,Akali**Hextech Rocketbelt,2844
178,Ziggs**Sorcerer's Shoes,2842
179,Hecarim**Ionian Boots of Lucidity,2839
180,Vayne**Doran's Blade,2837
181,Lux**Horizon Focus,2825
182,Jayce**Long Sword,2824
183,Jax**Corrupting Potion,2811
184,Sona**Ionian Boots of Lucidity,2804
185,Graves**Long Sword,2802
186,XinZhao**Plated Steelcaps,2793
187,Caitlyn**The Collector,2786
188,Xayah**Berserker's Greaves,2775
189,Ezreal**Doran's Blade,2771
190,Jayce**Serylda's Grudge,2760
