,champion,pick,win,win_rate
0,Jhin,16366,8280,50.59269216668704
1,Graves,12332,6248,50.66493674991891
2,Jinx,11619,6006,51.69119545571908
3,LeeSin,10924,5295,48.47125595020139
4,Yone,10335,4979,48.17610062893082
5,Ezreal,10285,4983,48.44919786096257
6,Lucian,10104,4912,48.614410134600156
7,Lulu,9779,5032,51.45720421310972
8,Viego,9631,4745,49.26798878621119
9,Caitlyn,9567,4732,49.46169123027072
10,Lux,9427,4688,49.729500371274
11,Camille,9119,4713,51.68329860730343
12,Thresh,8806,4393,49.88644106291165
13,Talon,8686,4441,51.12825236011973
14,Yasuo,8424,4170,49.5014245014245
15,Nami,8194,4141,50.53697827678789
16,Vayne,8193,4329,52.83778835591358
17,Viktor,7763,4135,53.265490145562275
18,Jayce,7575,3713,49.01650165016502
19,Irelia,7472,3626,48.52783725910064
20,Ekko,7314,3632,49.65818977303801
21,Zed,7254,3612,49.79321753515302
22,Sylas,7189,3557,49.478369731534286
23,Rakan,7183,3619,50.38284839203675
24,Aphelios,6828,3198,46.836555360281196
25,MissFortune,6579,3307,50.265997872017024
26,Leona,6435,3165,49.184149184149184
27,Karma,6188,3115,50.3393665158371
28,Yuumi,6160,2987,48.49025974025974
29,Qiyana,6051,3062,50.6032060816394
30,Leblanc,5966,2948,49.41334227287965
31,Xayah,5900,2966,50.271186440677965
32,Vex,5824,2900,49.793956043956044
33,Akali,5327,2506,47.04336399474376
34,Blitzcrank,5272,2680,50.834597875569045
35,Jax,5188,2641,50.905936777178106
36,Pyke,5183,2545,49.102836195253715
37,Draven,5167,2547,49.293593961679896
38,Hecarim,5162,2613,50.61991476172027
39,TwistedFate,4831,2505,51.8526185054854
40,Fiora,4810,2469,51.33056133056133
41,Sett,4794,2356,49.144764288694205
42,Nidalee,4561,2305,50.53716290287218
43,XinZhao,4540,2347,51.69603524229075
44,Kaisa,4500,2129,47.31111111111111
45,Kayn,4320,2125,49.18981481481482
46,Nautilus,4306,2114,49.09428704133767
47,Xerath,4257,2148,50.45806906272022
48,Akshan,4246,2184,51.4366462552991
49,Soraka,4187,2229,53.236207308335324
50,Khazix,4182,2185,52.24772835963654
51,Syndra,4105,1979,48.2095006090134
52,Twitch,4008,1920,47.90419161676647
53,Kassadin,3989,2026,50.78967159689145
54,Karthus,3965,2060,51.9546027742749
55,Poppy,3818,1900,49.764274489261396
56,Bard,3808,1911,50.18382352941176
57,Zilean,3761,1893,50.33235841531507
58,Sona,3748,1974,52.66808964781217
59,Kindred,3706,1912,51.59201295196978
60,Galio,3668,1890,51.526717557251914
61,Senna,3666,1808,49.318057828696126
62,Gragas,3662,1894,51.7203713817586
63,Katarina,3658,1885,51.53089119737562
64,Vladimir,3646,1793,49.177180471749864
65,Tryndamere,3593,1863,51.850821040912884
66,Janna,3569,1814,50.8265620622023
67,Aatrox,3552,1715,48.28265765765766
68,JarvanIV,3507,1720,49.04476760764186
69,Darius,3440,1701,49.447674418604656
70,Zoe,3387,1712,50.54620608207854
71,Gwen,3372,1584,46.97508896797153
72,Riven,3367,1663,49.39114939114939
73,Shen,3367,1726,51.262251262251255
74,Kennen,3279,1605,48.947849954254345
75,Ziggs,3197,1598,49.9843603378167
76,Zac,3195,1583,49.54616588419405
77,Malphite,3156,1560,49.42965779467681
78,Samira,3027,1471,48.59596960687149
79,Morgana,3026,1474,48.711169861202904
80,Tristana,3016,1477,48.97214854111406
81,Shaco,3008,1511,50.232712765957444
82,Ryze,2975,1319,44.33613445378151
83,Rengar,2945,1496,50.79796264855687
84,Lillia,2933,1423,48.51687691783157
85,Veigar,2929,1405,47.96858996244452
86,Renekton,2906,1422,48.933241569167244
87,Ashe,2882,1489,51.66551006245663
88,Alistar,2829,1412,49.91162955107812
89,Trundle,2774,1461,52.667627974044706
90,Teemo,2752,1339,48.655523255813954
91,Vi,2744,1374,50.072886297376094
92,TahmKench,2729,1369,50.164895566141446
93,Nunu,2658,1349,50.75244544770504
94,Sion,2605,1253,48.09980806142035
95,Evelynn,2575,1308,50.796116504854375
96,Seraphine,2565,1279,49.8635477582846
97,RekSai,2486,1336,53.74094931617055
98,Singed,2397,1210,50.47976637463496
99,Orianna,2376,1159,48.77946127946128
100,Nocturne,2350,1091,46.42553191489362
101,Rumble,2332,1195,51.24356775300172
102,Diana,2319,1122,48.38292367399741
103,MonkeyKing,2246,1136,50.578806767586826
104,Gangplank,2243,1131,50.42353990191708
105,Garen,2197,1135,51.6613563950842
106,Corki,2194,1115,50.820419325432994
107,DrMundo,2173,1096,50.43718361711919
108,Taliyah,2145,1108,51.65501165501165
109,FiddleSticks,2128,1078,50.6578947368421
110,Cassiopeia,2114,1070,50.61494796594135
111,Brand,2110,1024,48.530805687203795
112,Maokai,2002,1057,52.7972027972028
113,Lissandra,1997,992,49.674511767651474
114,Urgot,1995,1010,50.6265664160401
115,Warwick,1991,1030,51.73279758915118
116,Kayle,1988,1010,50.804828973843065
117,Chogath,1971,978,49.61948249619482
118,MasterYi,1961,919,46.86384497705253
119,Rell,1959,1047,53.44563552833078
120,Ahri,1959,962,49.10668708524757
121,Anivia,1929,988,51.218247796785896
122,Amumu,1916,953,49.73903966597077
123,Elise,1875,977,52.10666666666667
