,champion,pick,win,win_rate
0,Ezreal,19404,9406,48.47454133168419
1,Lux,18489,9318,50.39753366866786
2,Jhin,17552,8956,51.02552415679125
3,Yasuo,16513,8311,50.33004299642706
4,Caitlyn,15404,7497,48.66917683718515
5,MissFortune,14899,7548,50.661118195852076
6,Vayne,14587,7588,52.018920957016526
7,LeeSin,13573,6505,47.92602961762322
8,Yone,13568,6789,50.03685141509434
9,Jinx,13216,6656,50.363196125908
10,Kaisa,12499,6098,48.78790303224258
11,Lucian,11994,5821,48.53259963314991
12,Thresh,11352,5566,49.031007751937985
13,Sett,11244,5655,50.29348986125933
14,Graves,11061,5692,51.46008498327457
15,Morgana,10902,5565,51.04567969179967
16,Irelia,10844,5382,49.63113242345998
17,Kayn,10802,5360,49.6204406591372
18,Ashe,10637,5378,50.55936824292564
19,Viego,10628,5372,50.54572826496047
20,Zed,10513,5181,49.28184152953486
21,Sylas,10078,4873,48.35284778725938
22,MasterYi,10027,5102,50.88261693427745
23,Leona,9612,4889,50.8635039533916
24,Ekko,9586,4821,50.29209263509284
25,Xerath,9045,4662,51.542288557213936
26,Yuumi,8985,4398,48.94824707846411
27,Tristana,8983,4578,50.96292997884893
28,Blitzcrank,8876,4493,50.61964849031095
29,Akali,8870,4188,47.21533258173619
30,Senna,8711,4333,49.74170588910573
31,Lulu,8611,4282,49.72709325281617
32,Teemo,8594,4314,50.19781242727485
33,Samira,8523,4231,49.64214478470022
34,Garen,8380,4391,52.398568019093084
35,Pyke,8291,3987,48.08828850560849
36,Shaco,7928,3934,49.62159434914228
37,Darius,7688,3820,49.687825182101975
38,Malphite,7640,3866,50.602094240837694
39,Nautilus,7431,3712,49.95290001345714
40,Warwick,7405,3795,51.2491559756921
41,Jax,7142,3561,49.85998319798376
42,Katarina,7136,3554,49.803811659192824
43,Mordekaiser,6964,3488,50.08615738081562
44,Leblanc,6883,3321,48.24930989394159
45,Talon,6841,3352,48.99868440286508
46,Diana,6761,3430,50.73214021594439
47,Khazix,6696,3334,49.790919952210274
48,Nami,6465,3304,51.105955143078106
49,XinZhao,6319,3138,49.6597562905523
50,Brand,6277,3242,51.64887685199936
51,Nocturne,6250,3187,50.992000000000004
52,Camille,6208,3185,51.30476804123711
53,Volibear,6098,3056,50.11479173499508
54,Nasus,6022,3136,52.07572235137828
55,Amumu,6005,3074,51.19067443796836
56,Vi,5987,3126,52.213128444964084
57,Viktor,5916,3120,52.73833671399595
58,Pantheon,5841,2827,48.39924670433145
59,Twitch,5812,2869,49.363386097728835
60,Jayce,5790,2720,46.97754749568221
61,Tryndamere,5638,2777,49.255054984036896
62,Veigar,5480,2701,49.28832116788321
63,Vex,5395,2711,50.25023169601482
64,Fiora,5369,2713,50.53082510709629
65,Hecarim,5049,2551,50.52485640720935
66,DrMundo,5026,2631,52.347791484281736
67,Seraphine,5008,2515,50.21964856230032
68,Ahri,4942,2596,52.52934034803724
69,Soraka,4934,2534,51.357924604783136
70,Aphelios,4920,2387,48.516260162601625
71,Shen,4882,2495,51.10610405571487
72,Karma,4833,2339,48.396441133871306
73,Nunu,4821,2402,49.82368803152873
74,Xayah,4705,2286,48.58660998937301
75,Trundle,4687,2492,53.16833795604865
76,Swain,4670,2416,51.734475374732334
77,Alistar,4667,2327,49.86072423398329
78,Draven,4641,2323,50.053867700926524
79,Zyra,4639,2381,51.325716749299424
80,Renekton,4574,2117,46.283340620900745
81,JarvanIV,4555,2310,50.713501646542255
82,Aatrox,4551,2259,49.63744232036915
83,Riven,4444,2176,48.964896489648964
84,TahmKench,4439,2253,50.75467447623338
85,Galio,4382,2162,49.33820173436787
86,Ziggs,4349,2214,50.90825477121177
87,TwistedFate,4282,2065,48.22512844465203
88,Qiyana,4252,1980,46.566321730950136
89,Zac,4229,2107,49.82265310948215
90,Akshan,4189,2097,50.059680114585824
91,Lillia,4182,2084,49.83261597321856
92,Vladimir,4177,2087,49.96408905913335
93,Nidalee,4162,1934,46.46804420951466
94,Chogath,4135,2070,50.06045949214026
95,Poppy,4102,2059,50.19502681618723
96,Kindred,4038,1974,48.88558692421991
97,Sivir,4029,2066,51.27823281211219
98,Kayle,4004,2098,52.39760239760239
99,Ryze,3991,1844,46.20395890754197
100,Fizz,3988,2070,51.90571715145437
101,Urgot,3967,2036,51.32341820015125
102,Evelynn,3851,1944,50.48039470267462
103,Sion,3842,1950,50.754815200416445
104,Rakan,3801,1788,47.04025256511444
105,Kassadin,3786,1924,50.81880612783941
106,Velkoz,3645,1842,50.53497942386831
107,Gwen,3623,1648,45.48716533259729
108,Anivia,3521,1767,50.184606645839246
109,Malzahar,3500,1780,50.857142857142854
110,FiddleSticks,3492,1769,50.658648339060704
111,MonkeyKing,3475,1798,51.7410071942446
112,Ornn,3399,1721,50.632538982053546
113,Rengar,3365,1592,47.31054977711738
114,Varus,3346,1538,45.96533173939032
115,Gangplank,3251,1527,46.970163026761
116,Annie,3188,1630,51.12923462986198
117,Maokai,3109,1641,52.782245094885816
118,Syndra,3105,1478,47.60064412238325
119,Sona,3006,1640,54.55755156353958
120,Zilean,2975,1533,51.52941176470588
121,Gnar,2946,1401,47.55600814663951
122,Kennen,2934,1480,50.44308111792775
123,Zoe,2889,1359,47.0404984423676
124,Orianna,2869,1409,49.111188567445105
125,Janna,2808,1413,50.32051282051282
126,Neeko,2799,1371,48.98177920685959
127,Elise,2777,1428,51.42239827151602
128,Gragas,2724,1339,49.155653450807634
129,Yorick,2685,1375,51.21042830540037
130,Rammus,2670,1318,49.36329588014981
131,Bard,2667,1361,51.03112110986127
132,Illaoi,2659,1310,49.266641594584435
133,Udyr,2651,1312,49.490758204451154
134,Cassiopeia,2623,1338,51.01029355699581
135,KogMaw,2540,1366,53.77952755905512
136,Shyvana,2495,1317,52.78557114228457
137,Heimerdinger,2474,1229,49.676637025060636
138,Braum,2419,1255,51.88094253823894
139,Rumble,2224,1089,48.9658273381295
140,Singed,2166,1074,49.584487534626035
141,Karthus,2165,1103,50.94688221709007
142,Olaf,2089,980,46.91239827668741
143,Lissandra,1983,1009,50.88250126071608
144,Sejuani,1976,977,49.44331983805668
145,Kalista,1974,953,48.27760891590679
146,Rell,1929,1012,52.46241575946085
147,Kled,1872,978,52.243589743589745
148,Quinn,1865,944,50.616621983914214
149,Corki,1822,905,49.670691547749726
150,RekSai,1697,824,48.556275780789626
151,Taliyah,1416,726,51.271186440677965
152,Azir,1346,603,44.79940564635959
153,Ivern,1161,575,49.52627045650301
154,Taric,1124,580,51.60142348754449
155,Skarner,864,443,51.27314814814815
156,AurelionSol,703,338,48.079658605974394
