,champions,wins
0,'Lucian**Nami',1809
1,'Jinx**Lulu',1129
2,'Jinx**Thresh',948
3,'Graves**Jhin',808
4,'Caitlyn**Lux',781
5,'Jhin**Viego',724
6,'Jhin**LeeSin',718
7,'Rakan**Xayah',703
8,'Jhin**Lux',700
9,'Camille**Jhin',671
10,'Lulu**Vayne',663
11,'Jhin**Talon',632
12,'Aphelios**Lulu',625
13,'Aphelios**Thresh',623
14,'Jhin**Yone',621
15,'Graves**Jinx',584
16,'Jhin**Viktor',584
17,'Jayce**Jhin',571
18,'Jinx**LeeSin',558
19,'Jhin**Karma',551
20,'Ezreal**Yuumi',529
21,'Jinx**Viktor',527
22,'Jhin**Leona',527
23,'Graves**Lux',520
24,'Jhin**Rakan',519
25,'Graves**Lulu',512
26,'Ekko**Jhin',505
27,'Jinx**Yone',503
28,'Graves**Lucian',497
29,'Irelia**Jhin',487
30,'Ezreal**Graves',482
31,'Jhin**Sylas',482
32,'Jhin**Zilean',472
33,'Jhin**Zed',472
34,'Jhin**Xerath',471
35,'Graves**Thresh',469
36,'Jinx**Viego',452
37,'Caitlyn**Graves',451
38,'LeeSin**Lulu',449
39,'Graves**Nami',439
40,'Caitlyn**Morgana',434
41,'Jhin**Vex',429
42,'Jhin**Leblanc',426
43,'Camille**Jinx',424
44,'LeeSin**Thresh',422
45,'LeeSin**Viktor',420
46,'Camille**Ezreal',419
47,'Gragas**Yasuo',418
48,'Ezreal**LeeSin',418
49,'LeeSin**Lucian',414
50,'Caitlyn**LeeSin',414
51,'Jhin**Thresh',412
52,'Jinx**Talon',409
53,'Ezreal**Karma',406
54,'Jhin**Yasuo',403
55,'LeeSin**Lux',401
56,'Ezreal**Lux',401
57,'Ezreal**Yone',399
58,'LeeSin**Sylas',394
59,'Jayce**Jinx',392
60,'Akali**Jhin',392
61,'Irelia**Jinx',389
62,'Lulu**Yone',387
63,'Caitlyn**Yone',385
64,'Jhin**Qiyana',385
65,'Camille**Lucian',383
66,'Graves**Leblanc',381
67,'Graves**Vayne',381
68,'Lulu**Viego',379
69,'Caitlyn**Viktor',379
70,'Camille**LeeSin',379
71,'Lucian**Viego',379
72,'Ezreal**Talon',377
73,'Graves**Viktor',376
74,'Ezreal**Viego',373
75,'Camille**Lulu',371
76,'Blitzcrank**Jhin',369
77,'Graves**Leona',368
78,'LeeSin**Rakan',366
79,'Lux**Viego',366
80,'Jinx**Lux',364
81,'Ezreal**Viktor',364
82,'Graves**Sylas',363
83,'Lux**Yone',362
84,'Camille**Graves',362
85,'Viego**Viktor',361
86,'Jayce**LeeSin',359
87,'Lulu**Talon',359
88,'Vayne**Viego',357
89,'Graves**Rakan',357
90,'Jhin**Nidalee',353
91,'Jhin**TwistedFate',353
92,'Jax**Jhin',348
93,'Jhin**Yuumi',346
94,'Ekko**Yone',345
95,'Leblanc**LeeSin',345
96,'Talon**Viktor',344
97,'Camille**Viego',343
98,'Camille**Thresh',342
99,'Camille**Lux',341
100,'Aphelios**Graves',341
101,'Jinx**Sylas',340
102,'Aphelios**LeeSin',340
103,'Vayne**Yone',339
104,'LeeSin**Yone',339
105,'Lucian**Talon',338
106,'LeeSin**Vayne',336
107,'Camille**Talon',335
108,'Graves**Yone',335
109,'Lux**Talon',331
110,'Graves**Vex',331
111,'Rakan**Yasuo',330
112,'Lulu**Viktor',330
113,'Bard**Jhin',330
114,'Caitlyn**Jayce',329
115,'Ekko**Lucian',329
116,'Caitlyn**Viego',329
117,'Graves**Karma',327
118,'Ekko**Jinx',326
119,'Sylas**Viego',324
120,'Rakan**Viego',324
121,'Caitlyn**Talon',323
122,'Hecarim**Jhin',322
123,'Fiora**Jhin',320
124,'Ezreal**Jayce',320
125,'LeeSin**Nami',319
126,'Lucian**Lulu',317
127,'Jhin**Pyke',317
128,'LeeSin**Leona',316
129,'Leona**MissFortune',313
130,'Jhin**XinZhao',313
131,'Talon**Thresh',311
132,'Thresh**Viego',310
133,'Jayce**Viktor',310
134,'Jinx**Karma',309
135,'Viego**Yone',309
136,'Nami**Viego',309
137,'Graves**Xayah',308
138,'Jinx**Yasuo',308
139,'KogMaw**Lulu',307
140,'Thresh**Yone',306
141,'Lulu**Sylas',305
142,'Vayne**Viktor',305
143,'Camille**Nami',305
144,'Ezreal**Rakan',305
145,'Graves**MissFortune',303
146,'Lucian**Sylas',302
147,'Lucian**Yone',302
148,'Jayce**Lux',301
149,'Rakan**Talon',300
150,'Jhin**Khazix',300
151,'Thresh**Viktor',299
152,'Gragas**Jhin',299
153,'Caitlyn**Thresh',299
154,'Lulu**Twitch',298
155,'LeeSin**Yasuo',295
156,'Irelia**Lulu',295
157,'Jhin**Kassadin',294
158,'Camille**Rakan',293
159,'Leona**Yone',293
160,'Graves**Yuumi',293
161,'Camille**Ekko',293
162,'Ezreal**Irelia',292
163,'Ezreal**Sylas',291
164,'Jinx**Zed',290
165,'Lucian**Yuumi',290
166,'Jayce**Lulu',289
167,'Ekko**Ezreal',287
168,'Ezreal**Zed',287
169,'Caitlyn**Camille',286
170,'LeeSin**MissFortune',284
171,'Jayce**Thresh',283
172,'Jinx**Vex',283
173,'Lucian**Zed',283
174,'Rakan**Yone',283
175,'Nidalee**Yone',282
176,'Lux**Vayne',281
177,'Camille**MissFortune',279
178,'LeeSin**TwistedFate',279
179,'Talon**Vayne',279
180,'Nami**Zed',279
181,'LeeSin**Vex',278
182,'Irelia**Thresh',278
183,'Graves**TwistedFate',278
184,'Blitzcrank**Graves',277
