,champions,wins
0,'Jhin**Lux',1090
1,'Caitlyn**Lux',1041
2,'Ezreal**Lux',981
3,'Lucian**Nami',940
4,'Caitlyn**Morgana',870
5,'Lux**MissFortune',819
6,'Ezreal**LeeSin',810
7,'Ezreal**Yuumi',731
8,'Ezreal**Yasuo',726
9,'Jhin**Xerath',721
10,'Lux**Vayne',713
11,'Lux**Yasuo',713
12,'Jinx**Lux',706
13,'Ezreal**Yone',699
14,'Jhin**Yasuo',671
15,'Ezreal**Graves',621
16,'Lux**MasterYi',619
17,'Lulu**Vayne',611
18,'Caitlyn**Yasuo',610
19,'Jhin**Yone',609
20,'MissFortune**Yasuo',606
21,'Graves**Jhin',603
22,'Malphite**Yasuo',599
23,'Lux**Yone',597
24,'Jhin**LeeSin',596
25,'Kayn**Lux',593
26,'Ezreal**Sylas',591
27,'Jinx**Thresh',590
28,'LeeSin**Lux',588
29,'Vayne**Yasuo',586
30,'Ezreal**Zed',586
31,'Graves**Lux',584
32,'Ezreal**Irelia',582
33,'Ezreal**Xerath',576
34,'Ezreal**Viego',574
35,'Ezreal**Sett',570
36,'Jhin**Morgana',564
37,'LeeSin**Yasuo',557
38,'LeeSin**Vayne',556
39,'Ezreal**Kayn',553
40,'Jhin**Viego',545
41,'Lux**Sett',545
42,'Ashe**Lux',536
43,'Leona**MissFortune',536
44,'Jinx**Lulu',533
45,'Lux**Viego',532
46,'MissFortune**Yone',532
47,'Jhin**Kayn',531
48,'Kaisa**Thresh',530
49,'Jhin**Sett',529
50,'Caitlyn**Yone',527
51,'Ezreal**Morgana',526
52,'Kayn**MissFortune',525
53,'Ezreal**MasterYi',515
54,'Irelia**Jhin',513
55,'Caitlyn**LeeSin',512
56,'Vayne**Yone',511
57,'Irelia**Lux',501
58,'Kaisa**Lux',497
59,'Akali**Ezreal',494
60,'Jinx**Yone',494
61,'MissFortune**Morgana',493
62,'Morgana**Yasuo',491
63,'Garen**Lux',487
64,'Graves**Vayne',483
65,'Ekko**Ezreal',481
66,'Jhin**MasterYi',480
67,'Jinx**Yasuo',476
68,'Kaisa**Yasuo',475
69,'MissFortune**Sett',474
70,'LeeSin**Sylas',473
71,'Jhin**Zed',473
72,'Kayn**Yasuo',473
73,'Lux**Tristana',472
74,'Kaisa**LeeSin',471
75,'MasterYi**MissFortune',469
76,'LeeSin**MissFortune',467
77,'Jinx**LeeSin',466
78,'LeeSin**Lucian',464
79,'Ekko**Jhin',460
80,'Thresh**Vayne',459
81,'Caitlyn**Graves',459
82,'Caitlyn**MasterYi',459
83,'Lux**Warwick',457
84,'Ezreal**Thresh',457
85,'Irelia**MissFortune',456
86,'Graves**MissFortune',455
87,'Jhin**Thresh',452
88,'Lucian**Lux',447
89,'Ashe**Yasuo',445
90,'Thresh**Yasuo',441
91,'LeeSin**Thresh',441
92,'MissFortune**Viego',439
93,'Jhin**Leona',439
94,'Jhin**Sylas',437
95,'Leona**Samira',435
96,'Caitlyn**Sett',434
97,'Ezreal**Shaco',434
98,'Blitzcrank**Ezreal',433
99,'Lux**Teemo',430
100,'Ezreal**Garen',430
101,'Akali**Jhin',427
102,'Lux**Vi',427
103,'MasterYi**Yasuo',427
104,'Vayne**Yuumi',427
105,'Kaisa**Leona',425
106,'Rakan**Xayah',422
107,'Jinx**Morgana',421
108,'Caitlyn**Kayn',421
109,'Caitlyn**Irelia',420
110,'Morgana**Vayne',420
111,'Kaisa**Yone',419
112,'Lux**Zed',419
113,'Caitlyn**Xerath',419
114,'Sylas**Vayne',419
115,'Blitzcrank**Vayne',417
116,'Ekko**MissFortune',417
117,'Darius**Lux',416
118,'Ekko**Vayne',416
119,'MissFortune**Zed',415
120,'Ezreal**Leona',414
121,'Ezreal**Leblanc',413
122,'LeeSin**Yone',411
123,'Caitlyn**Zed',411
124,'Vayne**Viego',410
125,'Ezreal**Talon',410
126,'Morgana**Yone',410
127,'MissFortune**Teemo',410
128,'Blitzcrank**Jhin',409
129,'Garen**Jhin',409
130,'Caitlyn**Viego',407
131,'Ashe**Yone',407
132,'Jhin**Teemo',405
133,'Diana**Yasuo',405
134,'Teemo**Yasuo',404
135,'Caitlyn**Thresh',404
136,'Kaisa**Nautilus',404
137,'Caitlyn**Ekko',404
138,'Amumu**MissFortune',404
139,'Irelia**Vayne',402
140,'KogMaw**Lulu',402
141,'Jhin**Pyke',400
142,'Thresh**Yone',397
143,'Sett**Vayne',397
144,'Vayne**Zed',397
145,'Jhin**Shaco',396
146,'Kaisa**Sett',395
147,'Ezreal**Karma',393
148,'MissFortune**Sylas',393
149,'Ezreal**Katarina',392
150,'Graves**Jinx',392
151,'Blitzcrank**Kaisa',392
152,'Yasuo**Yuumi',391
153,'Sett**Yasuo',391
154,'Garen**MissFortune',390
155,'Caitlyn**Teemo',389
156,'Darius**Ezreal',384
157,'Irelia**LeeSin',383
158,'MasterYi**Vayne',382
159,'Jhin**Warwick',382
160,'Kayn**Vayne',382
161,'LeeSin**Xerath',382
162,'LeeSin**Sett',381
163,'Leona**Vayne',379
164,'Viego**Yasuo',379
165,'Lucian**Yasuo',379
166,'Lux**Nasus',378
167,'Ezreal**Malphite',378
168,'Ezreal**Teemo',378
169,'Jinx**Viego',377
170,'Kaisa**Viego',376
171,'Jinx**Sett',376
172,'Jinx**Zed',375
173,'Blitzcrank**Jinx',375
174,'Malphite**MissFortune',375
175,'Kayn**Yone',374
176,'Leona**Yone',373
