,Champion,Against,VS. Times,VS. Won,VS. Win Rate
0,Jhin,Jinx,1969,989,50.228542407313356
1,Jinx,Jhin,1969,980,49.771457592686644
2,Jhin,Graves,1766,908,51.41562853907134
3,Jhin,Caitlyn,1747,902,51.63136805953062
4,Jhin,Ezreal,1668,862,51.67865707434053
5,Graves,Jhin,1766,858,48.58437146092866
6,Caitlyn,Jhin,1747,845,48.36863194046938
7,Ezreal,Jhin,1668,806,48.32134292565947
8,Jhin,LeeSin,1554,805,51.80180180180181
9,Jhin,Lucian,1543,799,51.78224238496435
10,Jhin,Yone,1423,755,53.056921995783554
11,LeeSin,Jhin,1554,749,48.1981981981982
12,Jinx,Caitlyn,1427,747,52.347582340574625
13,Lucian,Jhin,1543,744,48.217757615035644
14,Jhin,Lulu,1479,741,50.10141987829615
15,Lulu,Jhin,1479,738,49.89858012170386
16,Jhin,Lux,1416,734,51.836158192090394
17,Jhin,Viego,1284,683,53.19314641744548
18,Lux,Jhin,1416,682,48.163841807909606
19,Caitlyn,Jinx,1427,680,47.65241765942537
20,Yone,Jhin,1423,668,46.943078004216446
21,LeeSin,Graves,1278,659,51.56494522691706
22,Camille,Jhin,1263,653,51.70229612034838
23,Graves,LeeSin,1278,619,48.43505477308294
24,Jhin,Camille,1263,610,48.29770387965162
25,Vayne,Jhin,1110,609,54.864864864864856
26,Talon,Jhin,1196,607,50.75250836120402
27,Thresh,Jhin,1209,606,50.12406947890818
28,Jhin,Thresh,1209,603,49.87593052109181
29,Viego,Jhin,1284,601,46.80685358255452
30,Jinx,LeeSin,1107,600,54.20054200542005
31,Jhin,Aphelios,1078,593,55.009276437847866
32,Jhin,Talon,1196,589,49.247491638795985
33,Jinx,Graves,1149,585,50.91383812010444
34,Jhin,MissFortune,1119,585,52.27882037533512
35,Jhin,Yasuo,1123,581,51.736420302760465
36,LeeSin,Viego,1128,573,50.797872340425535
37,Jhin,Jayce,1101,569,51.6802906448683
38,Viktor,Jhin,1088,567,52.11397058823529
39,Graves,Jinx,1149,564,49.08616187989556
40,Nami,Jhin,1110,561,50.54054054054053
41,Graves,Ezreal,1009,556,55.10406342913776
42,Viego,LeeSin,1128,555,49.202127659574465
43,Graves,Yone,1039,553,53.22425409047161
44,Jhin,Nami,1110,549,49.45945945945946
45,Jinx,Viego,1050,544,51.8095238095238
46,Graves,Viego,1044,543,52.01149425287356
47,Jinx,Yone,1050,542,51.61904761904762
48,Yasuo,Jhin,1123,542,48.26357969723954
49,Talon,LeeSin,976,537,55.020491803278695
50,MissFortune,Jhin,1119,534,47.72117962466488
51,Lucian,Graves,1031,533,51.69738118331717
52,Jayce,Jhin,1101,532,48.31970935513169
53,Jinx,Ezreal,1039,527,50.7218479307026
54,Rakan,Jhin,1027,525,51.11976630963972
55,Lucian,Ezreal,1012,524,51.77865612648221
56,Camille,Graves,1006,523,51.988071570576544
57,Jhin,Viktor,1088,521,47.88602941176471
58,Irelia,Jhin,1026,519,50.58479532163743
59,Lulu,Nami,999,516,51.651651651651655
60,Graves,Thresh,986,513,52.02839756592292
61,Ezreal,Jinx,1039,512,49.278152069297406
62,Jinx,Viktor,1020,511,50.09803921568627
63,Viktor,Jinx,1020,509,49.90196078431373
64,Yone,Jinx,1050,508,48.38095238095238
65,LeeSin,Jinx,1107,507,45.799457994579946
66,Jhin,Irelia,1026,507,49.41520467836257
67,Viego,Jinx,1050,506,48.19047619047619
68,Jhin,Rakan,1027,502,48.88023369036028
69,Jhin,Vayne,1110,501,45.13513513513514
70,Viego,Graves,1044,501,47.98850574712644
71,Lulu,Yone,898,500,55.67928730512249
72,Graves,Lucian,1031,498,48.30261881668283
73,Jhin,Ekko,966,498,51.5527950310559
74,Talon,Graves,990,497,50.2020202020202
75,Lux,Jinx,964,495,51.34854771784232
76,Yasuo,Yone,923,494,53.52112676056338
77,Graves,Talon,990,493,49.7979797979798
78,Lulu,Lucian,920,491,53.369565217391305
79,Graves,Lulu,964,491,50.933609958506224
80,Ezreal,Lucian,1012,488,48.22134387351779
81,Xayah,Jhin,970,487,50.20618556701031
82,Graves,Lux,963,487,50.571131879543096
83,Jinx,Lucian,870,486,55.86206896551724
84,Yone,Graves,1039,486,46.775745909528396
85,Aphelios,Jhin,1078,485,44.990723562152134
86,Nami,Lulu,999,483,48.348348348348345
87,Jhin,Xayah,970,483,49.79381443298969
88,Graves,Camille,1006,483,48.01192842942346
89,Zed,Jhin,958,482,50.31315240083507
90,LeeSin,Yone,953,480,50.36726128016789
91,Vayne,Jinx,906,479,52.86975717439294
92,Ezreal,LeeSin,947,477,50.36958817317846
93,Lux,Graves,963,476,49.428868120456904
94,Jhin,Zed,958,476,49.68684759916493
95,Lulu,Graves,964,473,49.066390041493776
96,Yone,LeeSin,953,473,49.63273871983211
97,Thresh,Graves,986,473,47.97160243407708
98,LeeSin,Ezreal,947,470,49.63041182682154
99,Jinx,Lux,964,469,48.65145228215768
100,Jhin,Sylas,929,469,50.48439181916039
101,Graves,Caitlyn,918,469,51.089324618736384
102,Lux,LeeSin,869,468,53.855005753739924
103,Ekko,Jhin,966,468,48.4472049689441
104,Jinx,Aphelios,885,466,52.655367231638415
105,Ezreal,Yone,904,462,51.10619469026548
106,Sylas,Jhin,929,460,49.51560818083961
107,Jhin,Karma,894,459,51.34228187919463
108,Yone,Viego,889,458,51.5185601799775
109,LeeSin,Lucian,877,457,52.109464082098064
110,Lulu,Lux,846,454,53.664302600472816
111,Ezreal,Graves,1009,453,44.89593657086224
112,Camille,LeeSin,825,451,54.666666666666664
113,Caitlyn,Graves,918,449,48.910675381263616
114,Caitlyn,Yone,844,448,53.08056872037915
115,Vayne,Ezreal,828,446,53.864734299516904
116,Jinx,Thresh,854,443,51.87353629976581
117,Nami,Graves,851,443,52.05640423031728
118,Graves,Jayce,858,443,51.63170163170163
119,Yone,Ezreal,904,442,48.89380530973451
120,Lulu,LeeSin,854,442,51.75644028103045
121,Thresh,LeeSin,879,442,50.2844141069397
122,LeeSin,Talon,976,439,44.97950819672131
123,Graves,Yasuo,873,439,50.28636884306987
124,Caitlyn,Ezreal,848,438,51.65094339622641
125,Graves,Aphelios,799,437,54.69336670838548
