,Unnamed: 0,Champion,pick,win,win_rate,bans,"Best Enemy, winRate","Worst Enemy, winRate"
0,0,Jhin,16366.0,8280.0,50.59269216668704,1707.0,"('Nocturne', 58.844765342960294)","('AurelionSol', 37.735849056603776)"
1,1,Graves,12332.0,6248.0,50.66493674991891,18409.0,"('Illaoi', 75.0)","('Skarner', 37.096774193548384)"
2,2,Jinx,11619.0,6006.0,51.69119545571908,2600.0,"('Azir', 64.86486486486487)","('AurelionSol', 40.816326530612244)"
3,3,LeeSin,10924.0,5295.0,48.47125595020139,,"('Malzahar', 59.61538461538461)","('Shyvana', 35.36585365853659)"
4,4,Yone,10335.0,4979.0,48.17610062893082,12662.0,"('Illaoi', 67.3469387755102)","('Rammus', 32.6530612244898)"
5,5,Ezreal,10285.0,4983.0,48.44919786096257,2121.0,"('Yorick', 60.86956521739131)","('DrMundo', 34.355828220858896)"
6,6,Lucian,10104.0,4912.0,48.614410134600156,10683.0,"('Azir', 59.4059405940594)","('Neeko', 38.333333333333336)"
7,7,Lulu,9779.0,5032.0,51.45720421310972,12825.0,"('Neeko', 61.76470588235294)","('AurelionSol', 39.02439024390244)"
8,8,Viego,9631.0,4745.0,49.267988786211184,7087.0,"('Varus', 61.25000000000001)","('Yorick', 27.27272727272727)"
9,9,Caitlyn,9567.0,4732.0,49.461691230270716,3951.0,"('Illaoi', 60.0)","('Akshan', 39.76608187134503)"
10,10,Lux,9427.0,4688.0,49.72950037127401,2889.0,"('Rammus', 60.97560975609756)","('AurelionSol', 34.0)"
11,11,Camille,9119.0,4713.0,51.68329860730343,17699.0,"('Nasus', 62.5)","('Quinn', 36.84210526315789)"
12,12,Thresh,8806.0,4393.0,49.88644106291164,6888.0,"('Garen', 59.154929577464785)","('AurelionSol', 37.5)"
13,13,Talon,8686.0,4441.0,51.128252360119724,24670.0,"('Neeko', 62.16216216216216)","('Rell', 40.8)"
14,14,Yasuo,8424.0,4170.0,49.5014245014245,8519.0,"('Olaf', 63.74999999999999)","('Yorick', 33.33333333333333)"
15,15,Nami,8194.0,4141.0,50.53697827678789,5987.0,"('Illaoi', 64.86486486486487)","('KogMaw', 40.909090909090914)"
16,16,Vayne,8193.0,4329.0,52.83778835591358,7055.0,"('Neeko', 72.91666666666666)","('Yorick', 36.17021276595745)"
17,17,Viktor,7763.0,4135.0,53.265490145562275,7973.0,"('Malzahar', 70.37037037037037)","('Rammus', 38.297872340425535)"
18,18,Jayce,7575.0,3713.0,49.016501650165026,2129.0,"('Illaoi', 63.63636363636363)","('Rell', 35.59322033898305)"
19,19,Irelia,7472.0,3626.0,48.527837259100636,15442.0,"('Varus', 59.45945945945946)","('AurelionSol', 38.63636363636363)"
20,20,Ekko,7314.0,3632.0,49.658189773038,4846.0,"('Udyr', 63.07692307692307)","('Rammus', 22.857142857142858)"
21,21,Zed,7254.0,3612.0,49.793217535153026,18489.0,"('Neeko', 67.5)","('Nasus', 37.333333333333336)"
22,22,Sylas,7189.0,3557.0,49.47836973153429,3597.0,"('Azir', 62.96296296296296)","('Zyra', 34.61538461538461)"
23,23,Rakan,7183.0,3619.0,50.382848392036756,985.0,"('Kayle', 62.745098039215684)","('Olaf', 35.08771929824561)"
24,24,Aphelios,6828.0,3198.0,46.8365553602812,1578.0,"('Kalista', 63.74999999999999)","('Pantheon', 35.294117647058826)"
25,25,MissFortune,6579.0,3307.0,50.265997872017024,,"('Maokai', 64.70588235294117)","('Taric', 30.0)"
26,26,Leona,6435.0,3165.0,49.18414918414918,8093.0,"('Quinn', 64.58333333333334)","('Janna', 35.82089552238806)"
27,27,Karma,6188.0,3115.0,50.3393665158371,874.0,"('Illaoi', 68.18181818181817)","('AurelionSol', 33.33333333333333)"
28,28,Yuumi,6160.0,2987.0,48.490259740259745,40146.0,"('Varus', 66.66666666666666)","('Shyvana', 24.444444444444443)"
29,29,Qiyana,6051.0,3062.0,50.60320608163939,13616.0,"('Mordekaiser', 67.05882352941175)","('Rammus', 27.586206896551722)"
30,30,Leblanc,5966.0,2948.0,49.413342272879646,,"('Illaoi', 70.37037037037037)","('Heimerdinger', 31.70731707317073)"
31,31,Xayah,5900.0,2966.0,50.271186440677965,4415.0,"('Gwen', 63.52201257861635)","('AurelionSol', 26.08695652173913)"
32,32,Vex,5824.0,2900.0,49.79395604395605,16044.0,"('Udyr', 74.0)","('Braum', 36.7816091954023)"
33,33,Akali,5327.0,2506.0,47.04336399474376,2655.0,"('Ryze', 60.0)","('Maokai', 30.120481927710845)"
34,34,Blitzcrank,5272.0,2680.0,50.834597875569045,9354.0,"('Ryze', 67.74193548387096)","('Rengar', 34.21052631578947)"
35,35,Jax,5188.0,2641.0,50.905936777178106,10254.0,"('Taric', 65.3061224489796)","('Quinn', 30.76923076923077)"
36,36,Pyke,5183.0,2545.0,49.102836195253715,3468.0,"('Twitch', 60.86956521739131)","('Quinn', 30.0)"
37,37,Draven,5167.0,2547.0,49.293593961679896,15653.0,"('Malzahar', 73.61111111111111)","('Skarner', 32.0)"
38,38,Hecarim,5162.0,2613.0,50.619914761720274,4847.0,"('Kalista', 65.0)","('Urgot', 33.80281690140845)"
39,39,TwistedFate,4831.0,2505.0,51.8526185054854,,"('Illaoi', 66.66666666666666)","('Ivern', 28.26086956521739)"
40,40,Fiora,4810.0,2469.0,51.33056133056133,13179.0,"('Neeko', 75.75757575757575)","('Skarner', 35.294117647058826)"
41,41,Sett,4794.0,2356.0,49.14476428869421,2652.0,"('Annie', 62.745098039215684)","('Yorick', 22.727272727272727)"
42,42,Nidalee,4561.0,2305.0,50.53716290287218,3076.0,"('Shyvana', 67.64705882352942)","('Skarner', 21.73913043478261)"
43,43,XinZhao,4540.0,2347.0,51.696035242290755,,"('Annie', 66.66666666666666)","('Rammus', 33.33333333333333)"
