,champion,pick,win,win_rate,bans
0,Jhin,16366.0,8280.0,50.59269216668704,1707.0
1,Graves,12332.0,6248.0,50.66493674991891,18409.0
2,Jinx,11619.0,6006.0,51.69119545571908,2600.0
3,LeeSin,10924.0,5295.0,48.47125595020139,
4,Yone,10335.0,4979.0,48.17610062893082,12662.0
5,Ezreal,10285.0,4983.0,48.44919786096257,2121.0
6,Lucian,10104.0,4912.0,48.614410134600156,10683.0
7,Lulu,9779.0,5032.0,51.45720421310972,12825.0
8,Viego,9631.0,4745.0,49.26798878621119,7087.0
9,Caitlyn,9567.0,4732.0,49.46169123027072,3951.0
10,Lux,9427.0,4688.0,49.729500371274,2889.0
11,Camille,9119.0,4713.0,51.68329860730343,17699.0
12,Thresh,8806.0,4393.0,49.88644106291165,6888.0
13,Talon,8686.0,4441.0,51.12825236011973,24670.0
14,Yasuo,8424.0,4170.0,49.5014245014245,8519.0
15,Nami,8194.0,4141.0,50.53697827678789,5987.0
16,Vayne,8193.0,4329.0,52.83778835591358,7055.0
17,Viktor,7763.0,4135.0,53.265490145562275,7973.0
18,Jayce,7575.0,3713.0,49.01650165016502,2129.0
19,Irelia,7472.0,3626.0,48.52783725910064,15442.0
20,Ekko,7314.0,3632.0,49.65818977303801,4846.0
21,Zed,7254.0,3612.0,49.79321753515302,18489.0
22,Sylas,7189.0,3557.0,49.478369731534286,3597.0
23,Rakan,7183.0,3619.0,50.38284839203675,985.0
24,Aphelios,6828.0,3198.0,46.836555360281196,1578.0
25,MissFortune,6579.0,3307.0,50.265997872017024,
26,Leona,6435.0,3165.0,49.184149184149184,8093.0
27,Karma,6188.0,3115.0,50.3393665158371,874.0
28,Yuumi,6160.0,2987.0,48.49025974025974,40146.0
29,Qiyana,6051.0,3062.0,50.6032060816394,13616.0
30,Leblanc,5966.0,2948.0,49.41334227287965,
31,Xayah,5900.0,2966.0,50.271186440677965,4415.0
32,Vex,5824.0,2900.0,49.793956043956044,16044.0
33,Akali,5327.0,2506.0,47.04336399474376,2655.0
34,Blitzcrank,5272.0,2680.0,50.834597875569045,9354.0
35,Jax,5188.0,2641.0,50.905936777178106,10254.0
36,Pyke,5183.0,2545.0,49.102836195253715,3468.0
37,Draven,5167.0,2547.0,49.293593961679896,15653.0
38,Hecarim,5162.0,2613.0,50.61991476172027,4847.0
39,TwistedFate,4831.0,2505.0,51.8526185054854,
40,Fiora,4810.0,2469.0,51.33056133056133,13179.0
41,Sett,4794.0,2356.0,49.144764288694205,2652.0
42,Nidalee,4561.0,2305.0,50.53716290287218,3076.0
43,XinZhao,4540.0,2347.0,51.69603524229075,
44,Kaisa,4500.0,2129.0,47.31111111111111,
45,Kayn,4320.0,2125.0,49.18981481481482,11951.0
46,Nautilus,4306.0,2114.0,49.09428704133767,3111.0
47,Xerath,4257.0,2148.0,50.45806906272022,1519.0
48,Akshan,4246.0,2184.0,51.4366462552991,10713.0
49,Soraka,4187.0,2229.0,53.236207308335324,2018.0
50,Khazix,4182.0,2185.0,52.24772835963654,
51,Syndra,4105.0,1979.0,48.2095006090134,831.0
52,Twitch,4008.0,1920.0,47.90419161676647,975.0
53,Kassadin,3989.0,2026.0,50.78967159689145,13039.0
54,Karthus,3965.0,2060.0,51.9546027742749,4339.0
55,Poppy,3818.0,1900.0,49.764274489261396,2461.0
56,Bard,3808.0,1911.0,50.18382352941176,1766.0
