,champion,pick,win,win_rate,bans
0,Ezreal,19404.0,9406.0,48.47454133168419,7757.0
1,Lux,18489.0,9318.0,50.39753366866786,9233.0
2,Jhin,17552.0,8956.0,51.02552415679125,5697.0
3,Yasuo,16513.0,8311.0,50.33004299642706,23975.0
4,Caitlyn,15404.0,7497.0,48.66917683718515,8969.0
5,MissFortune,14899.0,7548.0,50.661118195852076,
6,Vayne,14587.0,7588.0,52.018920957016526,15297.0
7,LeeSin,13573.0,6505.0,47.92602961762322,
8,Yone,13568.0,6789.0,50.03685141509434,19277.0
9,Jinx,13216.0,6656.0,50.363196125908,3037.0
10,Kaisa,12499.0,6098.0,48.78790303224258,
11,Lucian,11994.0,5821.0,48.53259963314991,6461.0
12,Thresh,11352.0,5566.0,49.031007751937985,6801.0
13,Sett,11244.0,5655.0,50.29348986125933,9850.0
14,Graves,11061.0,5692.0,51.46008498327457,14451.0
15,Morgana,10902.0,5565.0,51.04567969179967,29981.0
16,Irelia,10844.0,5382.0,49.63113242345998,23091.0
17,Kayn,10802.0,5360.0,49.6204406591372,13021.0
18,Ashe,10637.0,5378.0,50.55936824292564,3157.0
19,Viego,10628.0,5372.0,50.54572826496047,14965.0
20,Zed,10513.0,5181.0,49.28184152953486,42036.0
21,Sylas,10078.0,4873.0,48.35284778725938,7829.0
22,MasterYi,10027.0,5102.0,50.88261693427745,
23,Leona,9612.0,4889.0,50.8635039533916,24814.0
24,Ekko,9586.0,4821.0,50.29209263509284,5285.0
25,Xerath,9045.0,4662.0,51.542288557213936,9271.0
26,Yuumi,8985.0,4398.0,48.94824707846411,19437.0
27,Tristana,8983.0,4578.0,50.96292997884893,6446.0
28,Blitzcrank,8876.0,4493.0,50.61964849031095,21689.0
29,Akali,8870.0,4188.0,47.21533258173619,8696.0
30,Senna,8711.0,4333.0,49.74170588910573,5684.0
31,Lulu,8611.0,4282.0,49.72709325281617,12660.0
32,Teemo,8594.0,4314.0,50.19781242727485,18448.0
33,Samira,8523.0,4231.0,49.64214478470022,22484.0
34,Garen,8380.0,4391.0,52.398568019093084,4719.0
35,Pyke,8291.0,3987.0,48.08828850560849,10319.0
36,Shaco,7928.0,3934.0,49.62159434914228,22647.0
37,Darius,7688.0,3820.0,49.687825182101975,20910.0
38,Malphite,7640.0,3866.0,50.602094240837694,7463.0
39,Nautilus,7431.0,3712.0,49.95290001345714,7905.0
40,Warwick,7405.0,3795.0,51.2491559756921,4120.0
41,Jax,7142.0,3561.0,49.85998319798376,4928.0
42,Katarina,7136.0,3554.0,49.803811659192824,11009.0
43,Mordekaiser,6964.0,3488.0,50.08615738081562,5965.0
44,Leblanc,6883.0,3321.0,48.24930989394159,
45,Talon,6841.0,3352.0,48.99868440286508,8242.0
46,Diana,6761.0,3430.0,50.73214021594439,5736.0
47,Khazix,6696.0,3334.0,49.790919952210274,
48,Nami,6465.0,3304.0,51.105955143078106,2405.0
49,XinZhao,6319.0,3138.0,49.6597562905523,
50,Brand,6277.0,3242.0,51.64887685199936,7511.0
51,Nocturne,6250.0,3187.0,50.992000000000004,9257.0
52,Camille,6208.0,3185.0,51.30476804123711,9017.0
53,Volibear,6098.0,3056.0,50.11479173499508,2734.0
54,Nasus,6022.0,3136.0,52.07572235137828,4992.0
55,Amumu,6005.0,3074.0,51.19067443796836,7527.0
56,Vi,5987.0,3126.0,52.213128444964084,2434.0
57,Viktor,5916.0,3120.0,52.73833671399595,4817.0
58,Pantheon,5841.0,2827.0,48.39924670433145,3784.0
59,Twitch,5812.0,2869.0,49.363386097728835,2743.0
60,Jayce,5790.0,2720.0,46.97754749568221,1662.0
61,Tryndamere,5638.0,2777.0,49.255054984036896,7248.0
62,Veigar,5480.0,2701.0,49.28832116788321,1499.0
63,Vex,5395.0,2711.0,50.25023169601482,14701.0
64,Fiora,5369.0,2713.0,50.53082510709629,9433.0
65,Hecarim,5049.0,2551.0,50.52485640720935,6585.0
66,DrMundo,5026.0,2631.0,52.347791484281736,
67,Seraphine,5008.0,2515.0,50.21964856230032,3642.0
68,Ahri,4942.0,2596.0,52.52934034803724,1482.0
69,Soraka,4934.0,2534.0,51.357924604783136,1900.0
70,Aphelios,4920.0,2387.0,48.516260162601625,1841.0
71,Shen,4882.0,2495.0,51.10610405571487,1448.0
72,Karma,4833.0,2339.0,48.396441133871306,733.0
73,Nunu,4821.0,2402.0,49.82368803152873,
74,Xayah,4705.0,2286.0,48.58660998937301,2315.0
75,Trundle,4687.0,2492.0,53.16833795604865,1598.0
76,Swain,4670.0,2416.0,51.734475374732334,3517.0
77,Alistar,4667.0,2327.0,49.86072423398329,1612.0
78,Draven,4641.0,2323.0,50.053867700926524,5717.0
