,Item,pick,win,win_rate
0,Ionian Boots of Lucidity,131201,68252,52.020944962309734
1,Plated Steelcaps,127811,63952,50.036381845068114
2,Control Ward,114535,52412,45.76068450691928
3,Sorcerer's Shoes,107369,54876,51.109724408348775
4,Berserker's Greaves,96593,48955,50.681726419098695
5,Refillable Potion,71717,31687,44.18338748135031
6,Zhonya's Hourglass,67874,37262,54.898783039160804
7,Immortal Shieldbow,65640,33959,51.73522242535039
8,Long Sword,62411,25259,40.47203217381551
9,Shard of True Ice,60616,31729,52.34426554045136
10,Mercury's Treads,59304,30992,52.259544044246596
11,Dark Seal,59173,28568,48.27877579301371
12,Doran's Blade,58913,28307,48.04881774820498
13,Galeforce,44919,22988,51.17656225650615
14,Infinity Edge,44743,26094,58.31973716559015
15,Divine Sunderer,43657,22260,50.98838674210321
16,Sterak's Gage,41198,23344,56.662944803145784
17,Luden's Tempest,39672,20157,50.809134906231094
18,Goredrinker,39642,20013,50.48433479642803
19,Ruby Crystal,38507,16577,43.04931570883216
20,Youmuu's Ghostblade,37144,20047,53.97103166056429
21,Amplifying Tome,36095,15348,42.521124809530406
22,Kindlegem,35355,15724,44.47461462310847
23,Eclipse,34462,17645,51.20132319656433
24,The Collector,34219,19179,56.04780969636751
25,Hextech Rocketbelt,31884,16299,51.11968385397064
26,Cloak of Agility,30614,12967,42.356438230874765
27,Pickaxe,30477,14069,46.16268005381107
28,Kraken Slayer,30232,15193,50.25469700979095
29,Corrupting Potion,29828,14352,48.11586428858791
30,Lord Dominik's Regards,29748,15834,53.22710770471964
31,Doran's Ring,28946,13577,46.90458094382643
32,Needlessly Large Rod,27592,14787,53.59162075964048
33,Everfrost,27366,14028,51.26068844551634
34,Shurelya's Battlesong,27139,14435,53.18913740373632
35,Oblivion Orb,26271,11597,44.143732632941266
36,Bulwark of the Mountain,26181,13682,52.25927199113861
37,Doran's Shield,24445,11551,47.25301697688689
38,Locket of the Iron Solari,24107,12675,52.5780893516406
39,Boots of Swiftness,24029,12386,51.546048524699316
40,Caulfield's Warhammer,24020,11037,45.94920899250624
41,Broken Stopwatch,3925,1628,41.47770700636942
42,Serrated Dirk,23536,10509,44.65074779061863
43,Rabadon's Deathcap,23169,13950,60.20976304544866
44,B. F. Sword,22948,13646,59.464877113473946
45,Liandry's Anguish,22921,11636,50.76567339993892
46,Void Staff,22414,12178,54.33211385741055
47,Muramana,22205,11766,52.98806575095699
48,Rapid Firecannon,22037,12602,57.18564232881064
49,Cloth Armor,21975,9527,43.35381114903299
50,Mobility Boots,21933,10934,49.851821456253134
51,Cosmic Drive,21899,12554,57.326818576190696
52,Serylda's Grudge,21891,12753,58.25681787035768
53,Bramble Vest,21259,10066,47.34935791899901
54,Wit's End,19971,11567,57.918982524660755
55,Chemtech Putrifier,19906,11455,57.54546367929267
56,Guardian Angel,19522,12375,63.39002151418912
57,Essence Reaver,19366,10535,54.39946297635031
58,Boots,19163,5812,30.329280384073478
59,Death's Dance,19081,11193,58.66044756564121
60,Fiendish Codex,18597,8521,45.81921815346561
61,Tear of the Goddess,18426,7440,40.37772712471507
62,Thornmail,18414,10250,55.66416856739438
63,Blade of The Ruined King,18091,9439,52.175114697916094
64,Stopwatch,18000,10250,56.94444444444444
65,Mejai's Soulstealer,17723,14483,81.7186706539525
66,Executioner's Calling,16947,7378,43.53572903758777
67,Blasting Wand,16876,7275,43.10855652998341
68,Crown of the Shattered Queen,16685,8724,52.28648486664669
69,Last Whisper,15867,7471,47.085145270057346
70,Moonstone Renewer,15695,8162,52.00382287352661
71,Giant's Belt,14949,7402,49.515017726938254
72,Phage,14722,6201,42.12063578318163
73,Pauldrons of Whiterock,14701,7436,50.58159308890552
74,Black Cleaver,14358,8071,56.21256442401449
75,Mortal Reminder,14116,7674,54.36384244828564
76,Morellonomicon,13947,7346,52.67082526708252
77,Nashor's Tooth,13520,7069,52.285502958579876
78,Shadowflame,13505,7383,54.66864124398371
79,Evenshroud,13076,7020,53.686142551238916
80,Frostfire Gauntlet,12946,6630,51.21272980071064
81,Phantom Dancer,12848,7385,57.47976338729763
82,Zeal,12753,6386,50.07449227632714
83,Serpent's Fang,12665,6817,53.8255033557047
84,Chain Vest,12389,6182,49.89910404390992
85,Duskblade of Draktharr,12335,6280,50.91203891366032
86,Dagger,12325,5088,41.28194726166329
87,Horizon Focus,11860,6527,55.033726812816184
88,Seraph's Embrace,11663,6293,53.956957901054615
89,Trinity Force,11221,5936,52.900810979413606
90,Negatron Cloak,11069,5415,48.92040834763755
91,Prowler's Claw,10843,5656,52.16268560361523
92,Edge of Night,10788,6498,60.23359288097887
93,Null-Magic Mantle,10769,4787,44.45166682143189
94,Riftmaker,10653,5417,50.84952595513001
95,Forbidden Idol,10594,5933,56.003398149896164
96,Imperial Mandate,10037,5338,53.18322207831025
97,Guinsoo's Rageblade,9789,5675,57.97323526407192
98,Vampiric Scepter,9586,3779,39.42207385770916
99,Slightly Magical Footwear,9545,3181,33.3263488737559
100,Blighting Jewel,9023,4320,47.877646015737554
101,Bloodthirster,8832,5202,58.89945652173913
102,Sunfire Aegis,8791,4511,51.31384370378797
103,Hextech Alternator,8553,3724,43.540278264936276
104,Titanic Hydra,8539,4981,58.332357418901516
105,Axiom Arc,8475,4592,54.182890855457224
106,Frozen Heart,8366,4891,58.46282572316519
107,Runaan's Hurricane,8289,4571,55.14537338641573
108,Randuin's Omen,8210,4522,55.079171741778325
109,Demonic Embrace,8115,4599,56.6728280961183
110,Ravenous Hydra,8060,4583,56.861042183622835
111,Dead Man's Plate,7929,4623,58.30495648883844
112,Lich Bane,7890,4499,57.02154626108998
113,Targon's Buckler,7425,3322,44.74074074074074
114,Seeker's Armguard,7282,3132,43.01016204339467
115,Spirit Visage,7098,4027,56.73429134967597
116,Anathema's Chains,6886,3862,56.084809758931165
117,Warden's Mail,6829,3521,51.55952555278957
118,Bandleglass Mirror,6608,2561,38.756053268765136
119,Redemption,6474,4045,62.48069199876429
120,Stridebreaker,6227,3235,51.95118034366468
121,Banshee's Veil,6148,3593,58.441769681197144
122,Night Harvester,5811,3029,52.12527964205817
123,Sheen,5776,2196,38.01939058171745
124,Winged Moonplate,5250,2736,52.114285714285714
125,Faerie Charm,5190,2062,39.73025048169557
126,Frostfang,4916,1394,28.356387306753454
127,Hearthbound Axe,4867,2094,43.02445038011095
128,Tiamat,4772,2444,51.215423302598495
129,Ardent Censer,4710,2928,62.1656050955414
130,Staff of Flowing Water,4652,2821,60.64058469475494
131,Chempunk Chainsword,4636,2632,56.77308024158757
132,Zeke's Convergence,4600,2749,59.76086956521739
133,Vigilant Wardstone,4407,2978,67.5743135920127
134,Noonquiver,4405,904,20.522133938706016
135,Rylai's Crystal Scepter,4323,2399,55.493869997686794
136,Knight's Vow,4283,2538,59.257529768853615
137,Hullbreaker,4179,2278,54.51064848049773
138,Health Potion,4173,1867,44.73999520728493
139,Runesteel Spaulders,4100,1859,45.34146341463415
140,Glacial Buckler,4091,2192,53.58103153263261
141,Aether Wisp,3987,1900,47.65487835465262
142,Spectre's Cowl,3987,2101,52.6962628542764
143,Lost Chapter,3954,1004,25.392008093070306
144,Force of Nature,3892,2218,56.98869475847893
145,Turbo Chemtank,3881,2069,53.31100231898995
146,Mikael's Blessing,3798,2345,61.74302264349658
147,Fimbulwinter,3775,2043,54.11920529801324
148,Umbral Glaive,3752,1979,52.7452025586354
149,Stormrazor,3057,1764,57.7036310107949
150,Aegis of the Legion,3024,1435,47.4537037037037
151,Black Mist Scythe,2996,1503,50.16688918558078
152,Quicksilver Sash,2988,1753,58.66800535475234
153,Cull,2926,1202,41.07997265892003
154,Kircheis Shard,2827,1309,46.30350194552529
155,Recurve Bow,2638,1026,38.89310083396513
156,Navori Quickblades,2478,1393,56.21468926553672
157,Total Biscuit of Everlasting Will,2435,863,35.44147843942505
158,Maw of Malmortius,2425,1403,57.855670103092784
159,Gargoyle Stoneplate,2391,1412,59.054788791300716
160,Rageknife,2387,1135,47.54922496857981
161,Crystalline Bracer,2265,1183,52.22958057395144
162,Manamune,1650,850,51.515151515151516
163,Hexdrinker,1622,795,49.01356350184957
164,Verdant Barrier,1610,817,50.745341614906835
165,Bami's Cinder,1480,506,34.18918918918919
166,Mercurial Scimitar,1480,864,58.37837837837838
167,Warmog's Armor,1436,879,61.211699164345404
168,Abyssal Mask,1280,733,57.265625
169,Ironspike Whip,1279,350,27.36512900703675
170,Perfectly Timed Stopwatch,885,425,48.0225988700565
171,Leeching Leer,868,284,32.71889400921659
172,Rejuvenation Bead,862,307,35.614849187935036
173,Ornn upgraded item,14,11,78.57142857142857
174,Spellthief's Edge,692,277,40.028901734104046
175,Sapphire Crystal,666,274,41.14114114114114
176,Winter's Approach,618,331,53.55987055016181
177,Emberknife,548,247,45.07299270072993
178,Relic Shield,513,173,33.72319688109162
179,Archangel's Staff,438,254,57.99086757990868
180,Silvermere Dawn,435,271,62.29885057471264
181,Watchful Wardstone,340,228,67.05882352941175
182,Steel Shoulderguards,305,102,33.442622950819676
183,Hailblade,265,121,45.660377358490564
184,Elixir of Sorcery,218,106,48.62385321100918
185,Your Cut,190,115,60.526315789473685
186,Harrowing Crescent,179,45,25.139664804469277
187,Minion Dematerializer,154,55,35.714285714285715
188,Elixir of Wrath,149,80,53.691275167785236
189,Commencing Stopwatch,144,70,48.61111111111111
190,Elixir of Iron,116,63,54.310344827586206
191,Spectral Sickle,45,17,37.77777777777778
192,Kalista's Black Spear,4,2,50.0
