,Item,pick,win,win_rate
0,Berserker's Greaves,184238,93914,50.97428326403891
1,Plated Steelcaps,184067,91628,49.77969978323111
2,Sorcerer's Shoes,172274,88941,51.627639690260864
3,Ionian Boots of Lucidity,136464,70037,51.3226931644976
4,Control Ward,117526,56320,47.921311029048894
5,Doran's Blade,116358,56165,48.26913491122226
6,Refillable Potion,116321,53177,45.7157349059929
7,Zhonya's Hourglass,109605,59120,53.93914511199307
8,Mercury's Treads,90447,46401,51.3018673919533
9,Shard of True Ice,86903,45615,52.48955732253202
10,Long Sword,84101,35829,42.60234717779812
11,Immortal Shieldbow,81168,42488,52.34575202050069
12,Kraken Slayer,73852,37693,51.03856361371392
13,The Collector,72688,40528,55.75610829848118
14,Luden's Tempest,67028,34559,51.55904994927493
15,Divine Sunderer,63938,32953,51.538990897431894
16,Sterak's Gage,60282,34757,57.65734381739159
17,Ruby Crystal,58586,26074,44.50551326255419
18,Infinity Edge,57547,34203,59.43489669313779
19,Thornmail,56370,30897,54.81106971793507
20,Goredrinker,53708,27026,50.3202502420496
21,Galeforce,52795,26763,50.692300407235535
22,Amplifying Tome,52786,23850,45.18243473648316
23,Liandry's Anguish,51926,26980,51.958556407194855
24,Blade of The Ruined King,44693,24095,53.912245765556136
25,Pickaxe,44146,21044,47.66909799302315
26,Doran's Ring,44128,21117,47.85397026831037
27,Kindlegem,42572,19163,45.01315418584985
28,Cloak of Agility,41681,17831,42.779683788776666
29,Mobility Boots,40989,20819,50.79167581546269
30,Bramble Vest,40048,18829,47.01608070315621
31,Morellonomicon,39269,20507,52.221854388958214
32,Corrupting Potion,38537,18342,47.5958170070322
33,Cloth Armor,38439,17196,44.73581518769999
34,Doran's Shield,38348,18331,47.80171064983833
35,Eclipse,38016,19108,50.263047138047135
36,Dark Seal,37269,18884,50.669457189621404
37,Caulfield's Warhammer,37056,17294,46.669905008635574
38,Bulwark of the Mountain,35830,18711,52.22160200948925
39,Duskblade of Draktharr,35602,17829,50.07864726700747
40,Locket of the Iron Solari,35262,18530,52.549486699563275
41,Oblivion Orb,35049,15918,45.41641701617735
42,Serrated Dirk,35025,15726,44.899357601713064
43,Hextech Rocketbelt,34477,17632,51.14134060388085
44,Youmuu's Ghostblade,33368,17909,53.67118197075042
